1993, 1, 9, 139
1993, 1, 13, 140
1993, 1, 5, 174
1993, 1, 6, 121
1993, 1, 4, 143
1993, 1, 24, 123
1993, 1, 10, 152
1993, 1, 17, 142
1993, 1, 26, 115
1993, 1, 3, 159
1993, 1, 7, 134
1993, 1, 2, 150
1993, 1, 18, 158
1993, 1, 16, 144
1993, 1, 8, 138
1993, 1, 12, 166
1993, 1, 19, 141
1993, 1, 1, 176
1993, 1, 11, 168
1993, 1, 20, 139
1993, 1, 23, 140
1993, 1, 22, 109
1993, 1, 15, 136
1993, 1, 30, 168
1993, 2, 7, 116
1993, 2, 21, 132
1993, 2, 23, 148
1993, 2, 10, 114
1993, 2, 17, 141
1993, 1, 31, 144
1993, 2, 22, 144
1993, 3, 12, 146
1993, 2, 8, 102
1993, 2, 9, 133
1993, 2, 13, 133
1993, 3, 10, 178
1993, 2, 1, 158
1993, 2, 5, 114
1993, 2, 15, 140
1993, 2, 11, 135
1993, 2, 24, 153
1993, 2, 19, 135
1993, 2, 6, 151
1993, 2, 26, 191
1993, 3, 2, 175
1993, 3, 7, 172
1993, 3, 4, 134
1993, 3, 8, 173
1993, 1, 28, 135
1993, 4, 3, 156
1993, 1, 29, 120
1993, 2, 16, 129
1993, 4, 21, 172
1993, 3, 5, 166
1993, 2, 27, 135
1993, 2, 12, 160
1993, 3, 3, 159
1993, 2, 28, 160
1993, 3, 15, 130
1993, 1, 14, 147
1993, 4, 27, 177
1993, 3, 17, 173
1993, 3, 18, 165
1993, 5, 22, 230
1993, 4, 7, 329
1993, 5, 5, 147
1993, 1, 21, 144
1993, 2, 2, 141
1993, 3, 21, 142
1993, 4, 12, 138
1993, 4, 1, 143
1993, 3, 11, 150
1993, 3, 6, 166
1993, 3, 19, 164
1993, 3, 13, 162
1993, 4, 6, 178
1993, 5, 17, 178
1993, 2, 18, 139
1993, 3, 9, 168
1993, 5, 12, 223
1993, 1, 25, 113
1993, 3, 1, 141
1993, 2, 4, 172
1993, 5, 6, 172
1993, 5, 2, 181
1993, 5, 27, 184
1993, 4, 5, 159
1993, 3, 16, 166
1993, 4, 28, 169
1993, 5, 13, 170
1993, 8, 7, 163
1993, 5, 31, 152
1993, 5, 14, 193
1993, 3, 31, 137
1993, 5, 21, 246
1993, 4, 10, 191
1993, 4, 18, 137
1993, 3, 20, 194
1993, 3, 25, 188
1993, 4, 20, 206
1993, 4, 16, 137
1993, 4, 24, 133
1993, 5, 16, 207
1993, 5, 3, 152
1993, 4, 9, 224
1993, 7, 17, 447
1993, 4, 2, 151
1993, 5, 25, 205
1993, 5, 26, 176
1993, 7, 4, 169
1993, 3, 27, 172
1993, 5, 18, 278
1993, 2, 25, 152
1993, 3, 22, 162
1993, 5, 9, 182
1993, 4, 29, 142
1993, 4, 14, 152
1993, 4, 22, 175
1993, 8, 4, 226
1993, 3, 30, 151
1993, 6, 13, 186
1993, 6, 16, 141
